Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"I won't let you out of my country with those films unprocessed.'"","I won't let you out of my country with an unprocessed film.","RD","Predicted Relationship: entailment with 99.80% confidence."
"I won't let you out of my country with those films unprocessed.'"","I won't let you get kayoed into my country with that unprocessed film.","hypernym","Predicted Relationship: contradiction with 99.67% confidence."
"I won't let you out of my country with those films unprocessed.'"","I won't let you out of my country with that unprocessed film.","polarity_negation","Predicted Relationship: entailment with 99.81% confidence."
"I won't let you out of my country with those films unprocessed.'"","I won't let that get out of my country with your unprocessed films.","RS","Predicted Relationship: entailment with 99.89% confidence."
"I won't let you out of my country with those films unprocessed.'"","I'm not preventing you from being out of my country with that unprocessed film.","antonym","Predicted Relationship: contradiction with 99.93% confidence."
"Just after the game had been abandoned, Teixeira had watched aghast as a Chilean pundit told a local radio station how he had seen the flare hit Rojas, so turning the knife into Brazil's unprotected back.","Teixeira watched agapely as Chilean pundits told local radio stations how they saw Rios hit by a flare and turned the knife on Brazil's unprotected back.","RD","Predicted Relationship: entailment with 72.26% confidence."
"Just after the game had been abandoned, Teixeira had watched aghast as a Chilean pundit told a local radio station how he had seen the flare hit Rojas, so turning the knife into Brazil's unprotected back.","Teixeira watched agapely as Chilean pundits told local radio stations how they saw Rios hit by a flare and turned the knife on Brazil's unprotected back just after the game was abandoned.","hypernym","Predicted Relationship: entailment with 99.09% confidence."
"Just after the game had been abandoned, Teixeira had watched aghast as a Chilean pundit told a local radio station how he had seen the flare hit Rojas, so turning the knife into Brazil's unprotected back.","Teixeira watched agapely as a non-Chile pundit told a local radio station how he saw Rios hit by a flare and turned a knife on Brazil's unprotected back just after the game was abandoned.","polarity_negation","Predicted Relationship: contradiction with 99.84% confidence."
"Just after the game had been abandoned, Teixeira had watched aghast as a Chilean pundit told a local radio station how he had seen the flare hit Rojas, so turning the knife into Brazil's unprotected back.","Teixeira watched agapely as Chilean pundits told local radio stations how they saw Rios hit by a flare and turned the knife on the game's unprotected back.","RS","Predicted Relationship: entailment with 73.25% confidence."
"Just after the game had been abandoned, Teixeira had watched aghast as a Chilean pundit told a local radio station how he had seen the flare hit Rojas, so turning the knife into Brazil's unprotected back.","Teixeira watched agapely as Chilean pundits told local radio stations how they saw Rios hit by a flare and turned the knife into Brazil's unprotected advance just after the game was abandoned.","antonym","Predicted Relationship: entailment with 90.25% confidence."
