Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"The Tabaci River is a tributary of the River Leurda in Romania .","The River Leurda is a tributary of the River Leurda in Romania.","RD","Predicted Relationship: neutral with 91.07% confidence."
"The Tabaci River is a tributary of the River Leurda in Romania .","The Tabaci River is a tributary of the River Lorda in Romania.","hypernym","Predicted Relationship: entailment with 45.70% confidence."
"The Tabaci River is a tributary of the River Leurda in Romania .","The Tabaci River is a tributary of the River Lorda in Romania.","polarity_negation","Predicted Relationship: entailment with 45.70% confidence."
"The Tabaci River is a tributary of the River Leurda in Romania .","b>River Lorda/b> (Romanian: b>River Lorda/b>) is a tributary of the River Tabaci in Romania.","RS","Predicted Relationship: neutral with 78.28% confidence."
"The Tabaci River is a tributary of the River Leurda in Romania .","The Tabaci River is a tributary of the River Lorda in Romania.","antonym","Predicted Relationship: entailment with 45.70% confidence."
"He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .","He played in the AA level with the Kane County Cougars and the AA level Portland Sea Dogs.","RD","Predicted Relationship: contradiction with 86.52% confidence."
"He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .","He played in 1993 with the Kane County Cougars (A) and the Portland Sea Dogs (AA).","hypernym","Predicted Relationship: entailment with 99.47% confidence."
"He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .","He played in 1993 with the Kane County Cougars (A) and the Portland Sea Dogs (AA).","polarity_negation","Predicted Relationship: entailment with 99.47% confidence."
"He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .","He played in 1993 with the Kane County Cougars at sea level and the Portland Dogs at AA level.","RS","Predicted Relationship: entailment with 92.95% confidence."
"He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .","He played in 1993 with the Kane County Cougars (A) and the Portland Sea Dogs (AA).","antonym","Predicted Relationship: entailment with 99.47% confidence."
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of IEEE Phi Kappa ACM and Sigma Xi.","RD","Predicted Relationship: entailment with 77.77% confidence."
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of IEEE Phi Beta Kappa ACM and Sigma Xi.","hypernym","Predicted Relationship: entailment with 98.58% confidence."
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of IEEE non-Phi Beta Kappa ACM and Sigma Xi.","polarity_negation","Predicted Relationship: contradiction with 37.73% confidence."
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of IEEE Phi Beta Kappa ACM and Sigma Xi.","RS","Predicted Relationship: entailment with 98.58% confidence."
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a non-member of IEEE Phi Beta Kappa ACM and Sigma Xi.","antonym","Predicted Relationship: contradiction with 96.28% confidence."
"In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .","He became an anthropologist for the government of Sudan in 1938 and led fieldwork with the Naba.","RD","Predicted Relationship: entailment with 99.46% confidence."
"In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .","He became an anthropologist for the government of the Sudan in England in 1938 and led fieldwork with the Nuba.","hypernym","Predicted Relationship: entailment with 68.78% confidence."
"In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .","He became an anthropologist for the government of the Sudan in England in 1938 and led no fieldwork with the Naba.","polarity_negation","Predicted Relationship: contradiction with 94.54% confidence."
"In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .","He became an anthropologist for the government of Sudan in Nauba in 1938 and led fieldwork with the English.","RS","Predicted Relationship: contradiction with 56.09% confidence."
